scheme,scene,link,metric,participants_n,median,q1,q3,minimum,maximum,sum
GC_filtered,street,MoCap→VR,gt50_pct,10,0.0000000000,0.0000000000,0.0250055568,0.0000000000,0.6335679881,0.7150693648
GC_filtered,street,MoCap→VR,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_filtered,street,MoCap→VR,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,MoCap→VR,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,MoCap→VR,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,MoCap→VR,median_ms,10,10.2950000000,10.1125000000,10.9900000000,9.4400000000,12.0200000000,105.1300000000
GC_retained,street,MoCap→VR,p95_ms,10,15.8592500000,15.0475000000,16.6060000000,14.0380000000,21.3000000000,162.3075000000
GC_retained,street,MoCap→VR,p99_ms,10,19.9761000000,18.4783000000,20.5403500000,18.0477000000,38.0188000000,215.4549000000
GC_retained,street,MoCap→VR,max_ms,10,38.1400000000,30.4450000000,97.8725000000,25.2600000000,267.8000000000,738.8800000000
GC_retained,street,MoCap→VR,gt50_pct,10,0.0000000000,0.0000000000,0.0250055568,0.0000000000,0.6335679881,0.7150693648
GC_retained,street,MoCap→VR,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_retained,street,MoCap→VR,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,MoCap→VR,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,MoCap→VR,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,PC<->VR 状态同步,median_ms,10,29.8650000000,29.1900000000,31.2525000000,27.4800000000,32.4300000000,299.6900000000
GC_filtered,street,PC<->VR 状态同步,p95_ms,10,36.5550000000,35.2025000000,38.1225000000,33.6800000000,42.2100000000,368.6970000000
GC_filtered,street,PC<->VR 状态同步,p99_ms,10,39.3405000000,37.6432250000,42.5475000000,35.5100000000,45.4800000000,401.4439000000
GC_filtered,street,PC<->VR 状态同步,max_ms,10,42.8300000000,41.1950000000,47.1375000000,40.1400000000,56.4300000000,453.8400000000
GC_filtered,street,PC<->VR 状态同步,gt50_pct,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5026006662,0.8456239221
