scene,link,bin_seconds,participant,elapsed_s,latency_ms,q1_ms,q3_ms,n_available
supermarket,EyeTracking→PC,1,P1,280.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,281.500000,2.485000,,,1
supermarket,EyeTracking→PC,1,P1,282.500000,2.660000,,,1
supermarket,EyeTracking→PC,1,P1,283.500000,2.550000,,,1
supermarket,EyeTracking→PC,1,P1,284.500000,2.320000,,,1
supermarket,EyeTracking→PC,1,P1,285.500000,2.520000,,,1
supermarket,EyeTracking→PC,1,P1,286.500000,2.385000,,,1
supermarket,EyeTracking→PC,1,P1,287.500000,2.350000,,,1
supermarket,EyeTracking→PC,1,P1,288.500000,2.330000,,,1
supermarket,EyeTracking→PC,1,P1,289.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,290.500000,2.280000,,,1
supermarket,EyeTracking→PC,1,P1,291.500000,2.400000,,,1
supermarket,EyeTracking→PC,1,P1,292.500000,2.435000,,,1
supermarket,EyeTracking→PC,1,P1,293.500000,2.445000,,,1
supermarket,EyeTracking→PC,1,P1,294.500000,2.440000,,,1
supermarket,EyeTracking→PC,1,P1,295.500000,2.330000,,,1
supermarket,EyeTracking→PC,1,P1,296.500000,2.360000,,,1
supermarket,EyeTracking→PC,1,P1,297.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,298.500000,2.315000,,,1
supermarket,EyeTracking→PC,1,P1,299.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P2,0.500000,2.590000,,,1
supermarket,EyeTracking→PC,1,P2,1.500000,2.600000,,,1
supermarket,EyeTracking→PC,1,P2,2.500000,2.535000,,,1
supermarket,EyeTracking→PC,1,P2,3.500000,2.445000,,,1
supermarket,EyeTracking→PC,1,P2,4.500000,2.435000,,,1
supermarket,EyeTracking→PC,1,P2,5.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P2,6.500000,2.340000,,,1
supermarket,EyeTracking→PC,1,P2,7.500000,2.270000,,,1
supermarket,EyeTracking→PC,1,P2,8.500000,2.270000,,,1
supermarket,EyeTracking→PC,1,P2,9.500000,2.440000,,,1
supermarket,EyeTracking→PC,1,P2,10.500000,2.510000,,,1
supermarket,EyeTracking→PC,1,P2,11.500000,2.470000,,,1
supermarket,EyeTracking→PC,1,P2,12.500000,2.480000,,,1
supermarket,EyeTracking→PC,1,P2,13.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P2,14.500000,2.360000,,,1
supermarket,EyeTracking→PC,1,P2,15.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P2,16.500000,2.340000,,,1
supermarket,EyeTracking→PC,1,P2,17.500000,2.195000,,,1
supermarket,EyeTracking→PC,1,P2,18.500000,2.140000,,,1
supermarket,EyeTracking→PC,1,P2,19.500000,2.050000,,,1
supermarket,EyeTracking→PC,1,P2,20.500000,2.325000,,,1
supermarket,EyeTracking→PC,1,P2,21.500000,2.410000,,,1
supermarket,EyeTracking→PC,1,P2,22.500000,2.370000,,,1
supermarket,EyeTracking→PC,1,P2,23.500000,2.470000,,,1
supermarket,EyeTracking→PC,1,P2,24.500000,2.380000,,,1
