序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
51,2026-08-21 09:50:56.961,2026-08-21 09:50:56.923,PC<->VR 状态同步,38.38,0.22,0.00,38.03,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,119.2,6.409,6
52,2026-08-21 09:50:56.962,2026-08-21 09:50:56.960,MoCap→PC,6.31,0.36,0.00,5.17,9.52,7.32,8.69,9.37,6.31,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
53,2026-08-21 09:50:56.963,2026-08-21 09:50:56.953,EyeTracking→PC,10.18,0.59,0.00,2.31,22.28,7.24,20.61,22.05,10.18,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,122.1,6.409,6
54,2026-08-21 09:50:56.967,2026-08-21 09:50:56.963,EyeTracking→PC,3.67,0.58,0.00,2.31,22.28,7.13,20.42,22.04,3.67,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,1.0,3.264,7
55,2026-08-21 09:50:56.973,2026-08-21 09:50:56.971,MoCap→PC,7.11,0.30,0.00,5.17,9.52,7.32,8.67,9.37,7.11,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
56,2026-08-21 09:50:56.985,2026-08-21 09:50:56.982,MoCap→PC,8.08,0.30,0.00,5.17,9.52,7.32,8.65,9.37,8.08,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
57,2026-08-21 09:50:56.986,2026-08-21 09:50:56.973,EyeTracking→PC,13.32,0.58,0.00,2.31,22.28,7.24,20.24,22.03,13.32,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,21.0,3.264,7
58,2026-08-21 09:50:56.986,2026-08-21 09:50:56.984,EyeTracking→PC,2.33,0.59,0.00,2.31,22.28,7.13,20.06,22.02,2.33,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,21.1,3.264,7
59,2026-08-21 09:50:56.994,2026-08-21 09:50:56.956,PC<->VR 状态同步,38.38,0.22,0.00,38.03,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,27.0,3.264,7
60,2026-08-21 09:50:56.995,2026-08-21 09:50:56.993,MoCap→PC,7.55,0.30,0.00,5.17,9.52,7.33,8.62,9.37,7.55,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
