序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
104,2026-08-14 21:49:57.742,2026-08-14 21:49:57.740,EyeTracking→PC,2.40,0.59,0.00,0.99,3.89,1.97,3.09,3.65,2.40,12.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,199.2,1.459,8
105,2026-08-14 21:49:57.750,2026-08-14 21:49:57.741,MoCap→PC,18.26,0.48,0.00,13.01,23.87,17.74,21.18,23.12,18.26,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
106,2026-08-14 21:49:57.752,2026-08-14 21:49:57.750,EyeTracking→PC,2.26,0.58,0.00,0.99,3.89,1.99,3.07,3.65,2.26,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,209.8,1.459,8
107,2026-08-14 21:49:57.758,2026-08-14 21:49:57.752,MoCap→PC,15.20,0.44,0.00,13.01,23.87,17.74,21.18,23.12,15.20,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
108,2026-08-14 21:49:57.762,2026-08-14 21:49:57.761,EyeTracking→PC,1.48,0.59,0.00,0.99,3.89,1.97,3.06,3.64,1.48,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,219.5,1.459,8
109,2026-08-14 21:49:57.771,2026-08-14 21:49:57.763,MoCap→PC,18.27,0.44,0.00,13.01,23.87,17.74,21.17,23.12,18.27,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
110,2026-08-14 21:49:57.772,2026-08-14 21:49:57.771,EyeTracking→PC,1.75,0.59,0.00,0.99,3.89,1.95,3.04,3.64,1.75,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,230.0,1.459,8
111,2026-08-14 21:49:57.781,2026-08-14 21:49:57.774,MoCap→PC,16.36,0.36,0.00,13.01,23.87,17.74,21.17,23.12,16.36,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
112,2026-08-14 21:49:57.782,2026-08-14 21:49:57.781,EyeTracking→PC,1.68,0.58,0.00,0.99,3.89,1.95,3.02,3.64,1.68,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,241.2,1.459,8
113,2026-08-14 21:49:57.793,2026-08-14 21:49:57.785,MoCap→PC,19.65,0.30,0.00,13.01,23.87,17.74,21.16,23.12,19.65,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
