participant,scene,link,scheme,samples_n,ready_n,ready_pct,clock_valid_n,clock_valid_pct,mapping_age_ms_available_n,mapping_age_ms_missing_or_negative_n,mapping_age_ms_median,mapping_age_ms_p95,mapping_age_ms_p99,mapping_age_ms_max,uncertainty_ms_available_n,uncertainty_ms_missing_or_negative_n,uncertainty_ms_median,uncertainty_ms_p95,uncertainty_ms_p99,uncertainty_ms_max,sync_rtt_ms_available_n,sync_rtt_ms_missing_or_negative_n,sync_rtt_ms_median,sync_rtt_ms_p95,sync_rtt_ms_p99,sync_rtt_ms_max
P3,street,EyeTracking→PC,GC_filtered,27817,27817,100.0000000000,27817,100.0000000000,27817,0,4083.1000000000,8573.9200000000,8976.1200000000,9272.0000000000,27817,0,1.9410000000,2.0810000000,2.4170000000,4.7140000000,27817,0,3.7580000000,3.9450000000,4.4150000000,4.8340000000
P3,street,EyeTracking→PC,GC_retained,28732,28732,100.0000000000,28732,100.0000000000,28732,0,4073.1500000000,8574.1950000000,8981.7380000000,9272.0000000000,28732,0,1.9410000000,2.0810000000,2.4170000000,4.7140000000,28732,0,3.7580000000,3.9450000000,4.4150000000,4.8340000000
P3,street,MoCap→PC,GC_filtered,26142,0,0.0000000000,0,0.0000000000,26142,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26142,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26142,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,street,MoCap→PC,GC_retained,27000,0,0.0000000000,0,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,street,MoCap→VR,GC_filtered,26990,0,0.0000000000,0,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,street,MoCap→VR,GC_retained,26990,0,0.0000000000,0,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P3,street,PC<->VR 状态同步,GC_filtered,17111,0,0.0000000000,17111,100.0000000000,17111,0,4096.4000000000,8575.8000000000,8976.1000000000,9267.8000000000,17111,0,1.9410000000,2.0810000000,2.4170000000,4.7140000000,17111,0,3.7580000000,3.9450000000,4.4150000000,4.8340000000
P3,street,PC<->VR 状态同步,GC_retained,17111,0,0.0000000000,17111,100.0000000000,17111,0,4096.4000000000,8575.8000000000,8976.1000000000,9267.8000000000,17111,0,1.9410000000,2.0810000000,2.4170000000,4.7140000000,17111,0,3.7580000000,3.9450000000,4.4150000000,4.8340000000
P4,supermarket,EyeTracking→PC,GC_filtered,27220,27220,100.0000000000,27220,100.0000000000,27220,0,4076.4000000000,8575.6550000000,8978.4340000000,9125.8000000000,27220,0,1.7990000000,1.9730000000,1.9750000000,2.7850000000,27220,0,3.4120000000,3.8350000000,3.8840000000,3.8840000000
P4,supermarket,EyeTracking→PC,GC_retained,28470,28470,100.0000000000,28470,100.0000000000,28470,0,4095.1000000000,8588.4550000000,9002.2620000000,9351.0000000000,28470,0,1.8020000000,1.9730000000,1.9750000000,2.7850000000,28470,0,3.4170000000,3.8350000000,3.8840000000,3.8840000000
P4,supermarket,MoCap→PC,GC_filtered,25804,0,0.0000000000,0,0.0000000000,25804,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25804,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25804,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,supermarket,MoCap→PC,GC_retained,26993,0,0.0000000000,0,0.0000000000,26993,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26993,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26993,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,supermarket,MoCap→VR,GC_filtered,26991,0,0.0000000000,0,0.0000000000,26991,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26991,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26991,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,supermarket,MoCap→VR,GC_retained,26991,0,0.0000000000,0,0.0000000000,26991,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26991,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26991,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,supermarket,PC<->VR 状态同步,GC_filtered,16034,0,0.0000000000,16034,100.0000000000,16034,0,4084.7500000000,8563.7850000000,8983.1040000000,9353.2000000000,16034,0,1.7990000000,1.9730000000,1.9750000000,2.7850000000,16034,0,3.4120000000,3.8350000000,3.8840000000,3.8840000000
P4,supermarket,PC<->VR 状态同步,GC_retained,16034,0,0.0000000000,16034,100.0000000000,16034,0,4084.7500000000,8563.7850000000,8983.1040000000,9353.2000000000,16034,0,1.7990000000,1.9730000000,1.9750000000,2.7850000000,16034,0,3.4120000000,3.8350000000,3.8840000000,3.8840000000
P4,street,EyeTracking→PC,GC_filtered,28139,28139,100.0000000000,28139,100.0000000000,28139,0,4193.4000000000,8570.2100000000,8981.2960000000,9118.6000000000,28139,0,1.8040000000,1.9260000000,2.0010000000,5.3520000000,28139,0,3.3850000000,3.6210000000,3.6780000000,3.7590000000
P4,street,EyeTracking→PC,GC_retained,28933,28933,100.0000000000,28933,100.0000000000,28933,0,4057.2000000000,8556.4000000000,8978.9360000000,9118.6000000000,28933,0,1.8040000000,1.9260000000,2.0010000000,5.3520000000,28933,0,3.3850000000,3.6210000000,3.6780000000,3.7590000000
P4,street,MoCap→PC,GC_filtered,26256,0,0.0000000000,0,0.0000000000,26256,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26256,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26256,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,street,MoCap→PC,GC_retained,27000,0,0.0000000000,0,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,street,MoCap→VR,GC_filtered,26992,0,0.0000000000,0,0.0000000000,26992,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26992,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26992,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,street,MoCap→VR,GC_retained,26992,0,0.0000000000,0,0.0000000000,26992,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26992,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26992,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P4,street,PC<->VR 状态同步,GC_filtered,16707,0,0.0000000000,16707,100.0000000000,16707,0,4132.6000000000,8564.7000000000,8980.8880000000,9115.5000000000,16707,0,1.8050000000,1.9260000000,2.0010000000,5.3520000000,16707,0,3.3520000000,3.6210000000,3.6780000000,3.7590000000
P4,street,PC<->VR 状态同步,GC_retained,16707,0,0.0000000000,16707,100.0000000000,16707,0,4132.6000000000,8564.7000000000,8980.8880000000,9115.5000000000,16707,0,1.8050000000,1.9260000000,2.0010000000,5.3520000000,16707,0,3.3520000000,3.6210000000,3.6780000000,3.7590000000
P5,supermarket,EyeTracking→PC,GC_filtered,27042,27042,100.0000000000,27042,100.0000000000,27042,0,4075.1500000000,8571.7950000000,8981.3590000000,9215.0000000000,27042,0,1.7960000000,1.8890000000,2.2880000000,2.9850000000,27042,0,3.4090000000,3.6220000000,3.7080000000,3.8520000000
P5,supermarket,EyeTracking→PC,GC_retained,28375,28375,100.0000000000,28375,100.0000000000,28375,0,4076.9000000000,8575.9600000000,8988.5520000000,9230.7000000000,28375,0,1.7980000000,1.8890000000,2.2880000000,2.9850000000,28375,0,3.4090000000,3.6220000000,3.7080000000,3.8520000000
P5,supermarket,MoCap→PC,GC_filtered,25722,0,0.0000000000,0,0.0000000000,25722,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25722,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25722,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,supermarket,MoCap→PC,GC_retained,27000,0,0.0000000000,0,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,supermarket,MoCap→VR,GC_filtered,26990,0,0.0000000000,0,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,supermarket,MoCap→VR,GC_retained,26990,0,0.0000000000,0,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,supermarket,PC<->VR 状态同步,GC_filtered,15948,0,0.0000000000,15948,100.0000000000,15948,0,4062.1500000000,8576.8800000000,8986.4530000000,9228.5000000000,15948,0,1.7960000000,1.8890000000,2.2880000000,2.9850000000,15948,0,3.4090000000,3.6220000000,3.7080000000,3.8520000000
P5,supermarket,PC<->VR 状态同步,GC_retained,15948,0,0.0000000000,15948,100.0000000000,15948,0,4062.1500000000,8576.8800000000,8986.4530000000,9228.5000000000,15948,0,1.7960000000,1.8890000000,2.2880000000,2.9850000000,15948,0,3.4090000000,3.6220000000,3.7080000000,3.8520000000
P5,street,EyeTracking→PC,GC_filtered,27668,27668,100.0000000000,27668,100.0000000000,27668,0,4052.8500000000,8579.4950000000,8974.7000000000,9105.0000000000,27668,0,1.7400000000,1.9320000000,1.9350000000,3.5180000000,27668,0,3.3050000000,3.7060000000,3.7260000000,4.1670000000
P5,street,EyeTracking→PC,GC_retained,28778,28778,100.0000000000,28778,100.0000000000,28778,0,4073.1500000000,8568.6150000000,8971.5690000000,9105.0000000000,28778,0,1.7400000000,1.9320000000,1.9350000000,3.5180000000,28778,0,3.3050000000,3.7060000000,3.7260000000,4.1670000000
P5,street,MoCap→PC,GC_filtered,25960,0,0.0000000000,0,0.0000000000,25960,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25960,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25960,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,street,MoCap→PC,GC_retained,26996,0,0.0000000000,0,0.0000000000,26996,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26996,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26996,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,street,MoCap→VR,GC_filtered,26987,0,0.0000000000,0,0.0000000000,26987,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26987,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26987,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,street,MoCap→VR,GC_retained,26987,0,0.0000000000,0,0.0000000000,26987,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26987,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26987,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P5,street,PC<->VR 状态同步,GC_filtered,16758,0,0.0000000000,16758,100.0000000000,16758,0,4083.3000000000,8593.1650000000,8978.4300000000,9102.5000000000,16758,0,1.7400000000,1.9320000000,1.9350000000,3.5180000000,16758,0,3.3050000000,3.7060000000,3.7260000000,4.1670000000
P5,street,PC<->VR 状态同步,GC_retained,16758,0,0.0000000000,16758,100.0000000000,16758,0,4083.3000000000,8593.1650000000,8978.4300000000,9102.5000000000,16758,0,1.7400000000,1.9320000000,1.9350000000,3.5180000000,16758,0,3.3050000000,3.7060000000,3.7260000000,4.1670000000
P6,supermarket,EyeTracking→PC,GC_filtered,28119,28119,100.0000000000,28119,100.0000000000,28119,0,4090.1000000000,8591.1200000000,8989.5640000000,9120.3000000000,28119,0,1.8640000000,1.9790000000,2.4170000000,2.8350000000,28119,0,3.4590000000,3.7620000000,3.8230000000,5.2160000000
