frame,time_from_origin_s,centroid_x_m,centroid_y_m,centroid_z_m,valid
238,2.644444,-0.024759,0.863121,1.048656,1
239,2.655556,-0.024880,0.863146,1.048494,1
240,2.666667,-0.025058,0.863173,1.048325,1
241,2.677778,-0.025249,0.863228,1.048168,1
242,2.688889,-0.025395,0.863250,1.047983,1
243,2.700000,-0.025546,0.863301,1.047786,1
244,2.711111,-0.025688,0.863299,1.047579,1
245,2.722222,-0.025852,0.863260,1.047371,1
246,2.733333,-0.025981,0.863221,1.047157,1
247,2.744444,-0.026115,0.863202,1.046921,1
248,2.755556,-0.026255,0.863225,1.046646,1
249,2.766667,-0.026378,0.863185,1.046438,1
250,2.777778,-0.026533,0.863118,1.046178,1
251,2.788889,-0.026648,0.863088,1.045969,1
252,2.800000,-0.026738,0.863028,1.045773,1
253,2.811111,-0.026766,0.863036,1.045520,1
254,2.822222,-0.026826,0.863022,1.045300,1
255,2.833333,-0.026867,0.863036,1.045069,1
256,2.844444,-0.026921,0.863002,1.044849,1
257,2.855556,-0.026946,0.862979,1.044639,1
258,2.866667,-0.026954,0.862953,1.044418,1
259,2.877778,-0.026924,0.862947,1.044265,1
260,2.888889,-0.026890,0.862917,1.044053,1
261,2.900000,-0.026873,0.862917,1.043855,1
262,2.911111,-0.026835,0.862926,1.043660,1
263,2.922222,-0.026769,0.862917,1.043509,1
264,2.933333,-0.026690,0.862921,1.043320,1
265,2.944444,-0.026596,0.862932,1.043169,1
266,2.955556,-0.026498,0.862914,1.043026,1
267,2.966667,-0.026434,0.862894,1.042870,1
268,2.977778,-0.026366,0.862892,1.042728,1
269,2.988889,-0.026366,0.862914,1.042589,1
270,3.000000,-0.026289,0.862857,1.042426,1
271,3.011111,-0.026221,0.862812,1.042334,1
272,3.022222,-0.026088,0.862838,1.042215,1
273,3.033333,-0.025996,0.862811,1.042123,1
274,3.044444,-0.025897,0.862797,1.042027,1
275,3.055556,-0.025789,0.862780,1.041936,1
276,3.066667,-0.025713,0.862728,1.041849,1
277,3.077778,-0.025649,0.862724,1.041729,1
278,3.088889,-0.025590,0.862713,1.041664,1
279,3.100000,-0.025503,0.862758,1.041570,1
280,3.111111,-0.025397,0.862730,1.041486,1
281,3.122222,-0.025309,0.862702,1.041408,1
282,3.133333,-0.025223,0.862688,1.041356,1
283,3.144444,-0.025180,0.862643,1.041307,1
284,3.155556,-0.025116,0.862639,1.041232,1
285,3.166667,-0.025045,0.862652,1.041167,1
286,3.177778,-0.024943,0.862622,1.041091,1
287,3.188889,-0.024863,0.862610,1.041007,1
288,3.200000,-0.024741,0.862564,1.040960,1
289,3.211111,-0.024637,0.862550,1.040885,1
290,3.222222,-0.024550,0.862552,1.040819,1
291,3.233333,-0.024458,0.862566,1.040759,1
292,3.244444,-0.024381,0.862566,1.040713,1
293,3.255556,-0.024305,0.862583,1.040646,1
294,3.266667,-0.024074,0.862432,1.040604,1
295,3.277778,-0.023944,0.862380,1.040571,1
296,3.288889,-0.023792,0.862358,1.040551,1
297,3.300000,-0.023683,0.862341,1.040499,1
298,3.311111,-0.023605,0.862357,1.040418,1
299,3.322222,-0.023469,0.862337,1.040393,1
300,3.333333,-0.023362,0.862324,1.040383,1
301,3.344444,-0.023280,0.862282,1.040403,1
302,3.355556,-0.023164,0.862285,1.040364,1
303,3.366667,-0.023044,0.862312,1.040375,1
304,3.377778,-0.022956,0.862302,1.040373,1
305,3.388889,-0.022824,0.862339,1.040368,1
306,3.400000,-0.022667,0.862315,1.040332,1
307,3.411111,-0.022576,0.862243,1.040280,1
308,3.422222,-0.022449,0.862292,1.040194,1
