participant,scene,source,event_id,elapsed_s,nearest_heuristic_delta_ms
P5,supermarket,direct_log,25,274.4740000000,11.0000000000
P5,supermarket,direct_log,26,285.8000000000,8.0000000000
P5,supermarket,direct_log,27,297.2030000000,0.0000000000
P5,street,direct_log,1,3.9530000000,4.5000000000
P5,street,direct_log,2,17.7660000000,6.0000000000
P5,street,direct_log,3,31.8750000000,5.4990000000
P5,street,direct_log,4,44.9910000000,4.9990000000
P5,street,direct_log,5,58.1890000000,5.5000000000
P5,street,direct_log,6,71.2880000000,4.5000000000
P5,street,direct_log,7,84.5090000000,5.5000000000
P5,street,direct_log,8,97.3340000000,3.9990000000
P5,street,direct_log,9,110.1160000000,5.4990000000
P5,street,direct_log,10,122.8630000000,4.9990000000
P5,street,direct_log,11,135.5190000000,4.0000000000
P5,street,direct_log,12,148.5890000000,5.5000000000
P5,street,direct_log,13,161.6210000000,3.4990000000
P5,street,direct_log,14,174.6440000000,3.5000000000
P5,street,direct_log,15,187.6290000000,5.0000000000
P5,street,direct_log,16,200.5490000000,4.0000000000
P5,street,direct_log,17,213.1810000000,7.9990000000
P5,street,direct_log,18,226.1430000000,0.4990000000
P5,street,direct_log,19,239.1480000000,3.5000000000
P5,street,direct_log,20,252.1850000000,3.9990000000
P5,street,direct_log,21,265.1830000000,6.0000000000
P5,street,direct_log,22,278.2360000000,6.4990000000
P5,street,direct_log,23,291.2290000000,9.0000000000
P6,supermarket,direct_log,1,13.0380000000,6.4990000000
P6,supermarket,direct_log,2,36.4300000000,9.5000000000
P6,supermarket,direct_log,3,59.7650000000,10.4990000000
P6,supermarket,direct_log,4,83.3340000000,6.9990000000
P6,supermarket,direct_log,5,106.9100000000,6.4990000000
P6,supermarket,direct_log,6,130.4220000000,6.4990000000
P6,supermarket,direct_log,7,154.0290000000,11.0000000000
P6,supermarket,direct_log,8,177.6850000000,6.9990000000
P6,supermarket,direct_log,9,201.2340000000,6.0000000000
P6,supermarket,direct_log,10,224.8570000000,6.4990000000
P6,supermarket,direct_log,11,248.8430000000,4.4990000000
P6,supermarket,direct_log,12,272.6340000000,6.9990000000
P6,supermarket,direct_log,13,296.7180000000,0.0010000000
P6,street,direct_log,1,13.0760000000,7.9990000000
P6,street,direct_log,2,32.3600000000,10.0000000000
P6,street,direct_log,3,51.4320000000,10.0000000000
P6,street,direct_log,4,70.7760000000,8.4990000000
P6,street,direct_log,5,90.0720000000,8.4990000000
P6,street,direct_log,6,109.1640000000,6.0000000000
P6,street,direct_log,7,128.3820000000,8.0000000000
P6,street,direct_log,8,147.5810000000,10.5000000000
P6,street,direct_log,9,166.7290000000,0.0000000000
P6,street,direct_log,10,185.8750000000,7.4990000000
P6,street,direct_log,11,205.0970000000,8.9990000000
P6,street,direct_log,12,224.2400000000,9.0000000000
P6,street,direct_log,13,243.3550000000,6.4990000000
P6,street,direct_log,14,262.4320000000,9.5000000000
P6,street,direct_log,15,281.4300000000,9.4990000000
P7,supermarket,direct_log,1,12.6440000000,12.0000000000
P7,supermarket,direct_log,2,37.8250000000,8.0000000000
P7,supermarket,direct_log,3,62.9700000000,7.9990000000
P7,supermarket,direct_log,4,88.1410000000,13.4990000000
P7,supermarket,direct_log,5,113.3580000000,9.0000000000
P7,supermarket,direct_log,6,139.3030000000,12.9990000000
P7,supermarket,direct_log,7,164.4430000000,14.0000000000
P7,supermarket,direct_log,8,189.3950000000,7.0000000000
P7,supermarket,direct_log,9,214.5130000000,8.5000000000
P7,supermarket,direct_log,10,239.4890000000,9.4990000000
P7,supermarket,direct_log,11,264.5220000000,14.9990000000
P7,supermarket,direct_log,12,289.5610000000,9.4990000000
P7,street,direct_log,1,18.4700000000,5.5000000000
P7,street,direct_log,2,44.6320000000,8.5000000000
P7,street,direct_log,3,71.0990000000,7.0000000000
P7,street,direct_log,4,97.4860000000,7.9990000000
P7,street,direct_log,5,124.1160000000,12.0000000000
P7,street,direct_log,6,150.4800000000,7.5000000000
P7,street,direct_log,7,176.3530000000,6.9990000000
P7,street,direct_log,8,202.5740000000,7.0000000000
P7,street,direct_log,9,228.4700000000,7.0000000000
P7,street,direct_log,10,253.6670000000,1.9990000000
P7,street,direct_log,11,278.8220000000,7.9990000000
P8,supermarket,direct_log,1,13.5290000000,6.0000000000
P8,supermarket,direct_log,2,29.4700000000,6.5000000000
P8,supermarket,direct_log,3,45.4430000000,6.5000000000
P8,supermarket,direct_log,4,61.4090000000,7.4990000000
P8,supermarket,direct_log,5,77.4350000000,7.5000000000
P8,supermarket,direct_log,6,93.3950000000,7.0000000000
P8,supermarket,direct_log,7,109.6510000000,7.5000000000
P8,supermarket,direct_log,8,126.0720000000,2.4990000000
P8,supermarket,direct_log,9,142.0440000000,9.0000000000
P8,supermarket,direct_log,10,157.9050000000,6.4990000000
P8,supermarket,direct_log,11,173.8110000000,7.0000000000
P8,supermarket,direct_log,12,189.8490000000,6.0000000000
P8,supermarket,direct_log,13,205.7410000000,8.5000000000
P8,supermarket,direct_log,14,221.9030000000,7.0000000000
P8,supermarket,direct_log,15,237.8710000000,6.5000000000
P8,supermarket,direct_log,16,253.7000000000,5.4990000000
P8,supermarket,direct_log,17,269.5000000000,6.9990000000
P8,supermarket,direct_log,18,285.2190000000,6.5000000000
P8,street,direct_log,1,10.4820000000,4.0000000000
P8,street,direct_log,2,24.8030000000,5.0000000000
P8,street,direct_log,3,38.9490000000,7.0000000000
